County;Municipality;Site_ID;Site_name;Site_type;Collected;Lab_ID;BP;SD;From;To;%;?C13;Context;Material;Material_type;Reference
Agder;Arendal;10030;Dybdalshei_1;Stone_Age;2015;Ua-53022;8566;36;-7632;-7535;95.4;N/A;S501;Charcoal;Unknown;Granum_2018
Agder;Arendal;10030;Dybdalshei_1;Stone_Age;2015;Ua-53023;8462;36;-7581;-7490;95.4;N/A;S519;Charcoal;Unknown;Granum_2018
Agder;Arendal;10030;Dybdalshei_1;Stone_Age;2015;Ua-53027;8422;36;-7577;-7376;95.4;N/A;S545;Charcoal;Unknown;Granum_2018
Agder;Arendal;10030;Dybdalshei_1;Stone_Age;2015;Ua-53028;8199;35;-7321;-7081;95.4;N/A;S556;Charcoal;Unknown;Granum_2018
Agder;Arendal;10030;Dybdalshei_1;Stone_Age;2015;Ua-53029;6202;32;-5291;-5052;95.4;N/A;S566;Charcoal;Unknown;Granum_2018
Agder;Arendal;10030;Dybdalshei_1;Stone_Age;2015;Ua-53026;6150;32;-5211;-5006;95.4;N/A;S537;Charcoal;Unknown;Granum_2018
Agder;Arendal;10030;Dybdalshei_1;Stone_Age;2015;Ua-53025;5310;31;-4237;-4046;95.4;N/A;S531;Charcoal;Unknown;Granum_2018
Agder;Arendal;10030;Dybdalshei_1;Stone_Age;2015;Ua-53024;5262;31;-4229;-3985;95.4;N/A;S526;Charcoal;Unknown;Granum_2018
Agder;Arendal;10030;Dybdalshei_2;Stone_Age;2015;Ua-53030;3868;30;-2465;-2211;95.4;N/A;Kokegrop_S650;Charcoal;alnus,_pinus,_quercus;Granum_2018
Agder;Arendal;10030;Hesthag_C1;Stone_Age;2014;Beta-448119;5270;30;-4231;-3990;95.4;N/A;Grop_A20895;Charcoal;Viburnum;Viken_&_Reitan_2018
Agder;Arendal;10032;Hesthag_C1;Stone_Age;2014;Beta-448118;4950;30;-3786;-3657;95.4;N/A;Grop_A20716;Charcoal;corylus_nutshell;Viken_&_Reitan_2018
Agder;Arendal;10034;Hesthag_C2;Stone_Age;2014;Ua-50970;6351;45;-5468;-5225;95.4;N/A;Ildsted_A2726;Charcoal;Quercus;Viken_&_Reitan_2018
Agder;Arendal;10034;Hesthag_C2;Stone_Age;2014;Ua-50971;5172;44;-4218;-3805;95.4;N/A;Ildsted_A2736;Charcoal;corylus;Viken_&_Reitan_2018
Agder;Arendal;10035;Hesthag_C4;Stone_Age;2014;Beta-448123;8800;40;-8186;-7717;95.3;N/A;Kokegrop_A41178;Charcoal;Pinus;Viken_&_Reitan_2018
Agder;Arendal;10035;Hesthag_C4;Stone_Age;2014;Beta-448122;4100;30;-2863;-2503;95.3;N/A;Ref.proeve_5993x863y_NV;Charcoal;Betula;Viken_&_Reitan_2018
Agder;Arendal;10036;Hesthag_C6;Artefact;2014;Beta-448124;3660;30;-2136;-1950;95.4;N/A;Linjedekorert_keramikk_fra_250x_317y_Soe,_Lag_1;Pottery;Ash_in_ware;Viken_&_Reitan_2018
Agder;Arendal;10036;Hesthag_C6;Artefact;2014;Beta-448125;3500;30;-1906;-1743;95.4;N/A;Randskaar_med_bul_fra_255x_310y_Soe,_Lag_2;Pottery;Ash_in_ware;Viken_&_Reitan_2018
Agder;Arendal;10037;Hesthag_C7;Stone_Age;2014;Ua-50582;3469;33;-1886;-1692;95.4;N/A;Stolpehull/nedgravning_A1445;Charcoal;corylus_nutshell;Viken_&_Reitan_2018
Agder;Arendal;10038;Hesthag_ID170232;Survey_site;2013;Beta-360080;3480;30;-1888;-1697;95.4;N/A;Dyrkningslag;Charcoal;Unknown;Eskeland_2013
Agder;Arendal;10039;Kroegenes_D1;Stone_Age;2014;Ua-53108;5694;32;-4615;-4455;95.4;N/A;Ildsted_A204387;Charcoal;Fraxinus;Viken_&_Reitan_2018
Agder;Arendal;10039;Kroegenes_D1;Stone_Age;2014;Ua-53109;5351;31;-4322;-4054;95.4;N/A;Ildsted_A207098;Charcoal;Pinus;Viken_&_Reitan_2018
Agder;Arendal;10039;Kroegenes_D1;Stone_Age;2014;Ua-50976;5339;37;-4318;-4050;95.4;N/A;Ildsted_A204327;Charcoal;Pinus;Viken_&_Reitan_2018
Agder;Arendal;10039;Kroegenes_D1;Stone_Age;2014;Ua-53110;5334;31;-4309;-4049;95.4;N/A;Ildsted_A207811;Charcoal;Pinus;Viken_&_Reitan_2018
Agder;Arendal;10039;Kroegenes_D1;Stone_Age;2014;Ua-53107;5249;32;-4228;-3976;95.3;N/A;Stolpehull_A204397;Charcoal;Betula;Viken_&_Reitan_2018
Agder;Arendal;10039;Kroegenes_D1;Stone_Age;2014;Ua-50979;5082;40;-3966;-3789;95.4;N/A;Groeft_A204424;Charcoal;Salix;Viken_&_Reitan_2018
Agder;Arendal;10039;Kroegenes_D1;Stone_Age;2014;Ua-50977;4883;40;-3765;-3540;95.4;N/A;Ildsted_A201113;Charcoal;Alnus;Viken_&_Reitan_2018
Agder;Arendal;10039;Kroegenes_D1;Stone_Age;2014;Ua-53106;4559;31;-3487;-3105;95.4;N/A;Groeft_A203549;Charcoal;Pinus;Viken_&_Reitan_2018
Agder;Arendal;10039;Kroegenes_D1;Stone_Age;2014;Ua-50978;4005;34;-2619;-2466;95.4;N/A;Kokegrop_A206352;Charcoal;Fraxinus;Viken_&_Reitan_2018
Agder;Arendal;10040;Kroegenes_D2;Stone_Age;2014;Ua-50983;7059;143;-6222;-5675;95.4;N/A;Plattform_A206735;Charcoal;Pinus;Viken_&_Reitan_2018
Agder;Arendal;10040;Kroegenes_D2;Stone_Age;2014;Ua-50980;6297;44;-5375;-5081;95.5;N/A;Ved_stor_slipestein;Charcoal;Pinus;Viken_&_Reitan_2018
Agder;Arendal;10040;Kroegenes_D2;Stone_Age;2014;Beta-448128;6260;30;-5317;-5081;95.4;N/A;Kulturlag;Charcoal;Alnus;Viken_&_Reitan_2018
Agder;Arendal;10040;Kroegenes_D2;Stone_Age;2014;Ua-50982;6132;45;-5213;-4956;95.4;N/A;Plattform_A206735;Charcoal;Pinus;Viken_&_Reitan_2018
Agder;Arendal;10040;Kroegenes_D2;Stone_Age;2014;Ua-50981;3379;34;-1756;-1562;95.4;N/A;Brown_sand_layer_west;Charcoal;betula;Viken_&_Reitan_2018
Agder;Arendal;10041;Kroegenes_ID160617;Survey_site;2013;Beta-341825;4860;30;-3704;-3539;95.4;N/A;Lag_3_PS67;Charcoal;Unknown;Eskeland_2013
Agder;Arendal;10041;Kroegenes_ID160617;Survey_site;2013;Beta-341826;3580;30;-2028;-1828;95.4;N/A;Lag_4_PS66;Charcoal;Unknown;Eskeland_2013
Agder;Arendal;10043;Moerland_Lille_ID170180;Survey_site;2013;Beta-360071;4940;30;-3777;-3654;95.4;N/A;Lag_3_PS40189;Charcoal;Unknown;Eskeland_2013
Agder;Arendal;10044;Moerland_Lille_ID170181;Survey_site;2013;Beta-360072;3040;30;-1397;-1216;95.4;N/A;Lag_4_PS40195;Charcoal;Unknown;Eskeland_2013
Agder;Arendal;10045;Moerland_Lille_ID172324;Survey_site;2013;Beta-366065;3130;30;-1495;-1300;95.4;N/A;Kokegrop;Charcoal;Unknown;Eskeland_2013
Agder;Arendal;10046;Nedenes;Survey_site;2014;Beta-405384;3530;30;-1943;-1763;95.4;N/A;ID178931_proeve_2_PS3;Charcoal;corylus;Vihovde_2014
Agder;Arendal;10046;Nedenes;Survey_site;2014;Beta-405385;3490;30;-1893;-1700;95.4;N/A;ID178931_proeve_5_Profil_2;Charcoal;corylus;Vihovde_2014
Agder;Arendal;10047;Sagene_B1;Stone_Age;2015;Ua-52869;7954;32;-7036;-6701;95.4;N/A;Stolpehull_A456141;Charcoal;Pinus;Viken_&_Reitan_2018
Agder;Arendal;10047;Sagene_B1;Stone_Age;2015;Ua-52923;5150;58;-4220;-3788;95.4;N/A;Stolpehull_A456149;Charcoal;Indet._Conif.;Viken_&_Reitan_2018
Agder;Arendal;10047;Sagene_B1;Stone_Age;2015;Ua-52868;3352;27;-1737;-1545;95.5;N/A;Stolpehull_A456132;Charcoal;Pinus;Viken_&_Reitan_2018
Agder;Arendal;10048;Sagene_B2;Stone_Age;2015;Ua-52870;4946;29;-3781;-3656;95.4;N/A;Rotvelt_A503080;Charcoal;Indet._Conif.;Viken_&_Reitan_2018
Agder;Arendal;10051;Tverdal;Stone_Age;2009;Ua-47407;4622;48;-3626;-3123;95.4;N/A;Kulturlag?;Bone;sus_scrofa_(-23,4C13);Berge_2017
Agder;Arendal;10051;Tverdal;Stone_Age;2009;Ua-47406;4536;131;-3629;-2911;95.4;N/A;Kulturlag?;Bone;canis_familiaris_(-26,1C13);Berge_2017
Agder;Arendal;10051;Tverdal;Stone_Age;2009;Ua-47408;4401;36;-3311;-2910;95.4;N/A;Kulturlag?;Bone;Mammalia_(-26,1C13);Berge_2017
Agder;Arendal;10051;Tverdal;Stone_Age;2009;Tra-444;4370;45;-3264;-2895;95.4;N/A;Kulturlag;Charcoal;betula;Berge_2017
Agder;Bygland;10052;Groessae;Stone_Age;1968;T-851;5500;90;-4537;-4070;95.4;N/A;Layer_(0,5-0,15_m_depth);Charcoal;Unknown;Nydal_et_al._1972
Agder;Bygland;10053;Langeid;Settlement;2011;Tra-3809;4600;30;-3501;-3136;95.4;N/A;Stolpehull_S318;Charcoal;betula;Wenn_2016
Agder;Bygland;10054;Vassendoeya_1;Stone_Age;1985-1987;Beta-4015;3950;80;-2838;-2200;95.4;N/A;Ildsted;Charcoal;pinus;oestmo_1989
Agder;Bygland;10055;Vassendoeya_3B;Stone_Age;1985-1987;Beta-4016;4230;170;-3361;-2350;95.5;N/A;Lag;Charcoal;pinus;oestmo_1989
Agder;Bykle;10059;Lok_13;Settlement;1977;Beta-4017;4000;70;-2858;-2297;95.4;N/A;Ildsted_(bunn);Charcoal;Unknown;Bang-Andersen_1998
Agder;Bykle;10060;Lok_17S;Stone_Age;1977;Beta-4018;4195;105;-3079;-2482;95.4;N/A;Lag;Charcoal;Unknown;Bang-Andersen_1998
Agder;Bykle;10060;Lok_17S;Stone_Age;1977;Beta-4019;4040;50;-2857;-2467;95.4;N/A;Lag;Charcoal;betula;Bang-Andersen_1998
Agder;Farsund;10546;Arctanderjordet;Settlement;1999;Beta-4013;3605;70;-2191;-1766;95.4;N/A;Stolpehull_Hus_1/A;unknown;Unknown;Valum_2011
Agder;Farsund;10546;Arctanderjordet;Settlement;1999;Beta-4014;3460;70;-1957;-1613;95.4;N/A;Stolpehull_Hus_2/A;unknown;Unknown;Valum_2011
Agder;Farsund;10547;Fjellstad;Settlement;2008;Beta-240697;3610;40;-2131;-1881;95.4;N/A;Fossilt_dyrkningslag_S47;Charcoal;betula,_corylus;Demuth_2008
Agder;Farsund;10548;Groennslettvika;Stone_Age;2005;Tua-5415;4945;40;-3890;-3647;95.4;N/A;Ildsted;Charcoal;ulmus/betula;Melvold_2015
Agder;Farsund;10548;Groennslettvika;Stone_Age;2005;Tua-5416;4335;40;-3086;-2888;95.4;N/A;Kulturlag_2/utkast;Charcoal;corylus/betula;Melvold_2015
Agder;Farsund;10549;Lundevaagen_R1;Grave;1992;T-10478;3870;95;-2579;-2037;95.4;N/A;Kullag_under_roeys;Charcoal;Unknown;Ballin_og_Jensen_1995
Agder;Farsund;10552;Lundevaagen_R17;Stone_Age;1992;Ua-3556;7770;75;-6820;-6453;95.4;N/A;Layer;Charcoal;corylus_nutshell;Ballin_og_Jensen_1995
Agder;Farsund;10552;Lundevaagen_R17;Stone_Age;1992;Tua-900;6400;70;-5484;-5226;95.4;N/A;Layer;Charcoal;corylus_nutshell;Ballin_og_Jensen_1995
Agder;Farsund;10553;Lundevaagen_R21/22;Stone_Age;1992;Ua-3263;6400;65;-5483;-5228;95.4;N/A;Layer;Charcoal;corylus_nutshell;Ballin_og_Jensen_1995
Agder;Farsund;10553;Lundevaagen_R21/22;Stone_Age;1992;Ua-3262;3980;60;-2835;-2292;95.4;N/A;Layer;Charcoal;corylus_nutshell;Ballin_og_Jensen_1995
Agder;Farsund;10553;Lundevaagen_R21/22;Stone_Age;1992;T-10488;3275;80;-1750;-1398;95.4;N/A;Hearth_AIV;Charcoal;Unknown;Ballin_og_Jensen_1995
Agder;Farsund;10553;Lundevaagen_R21/22;Stone_Age;1992;T-10485;3140;75;-1609;-1218;95.4;N/A;Hearth_AI;Charcoal;Corylus;Ballin_og_Jensen_1995
Agder;Farsund;10554;Lundevaagen_R23;Stone_Age;1992;Tua-484;6230;70;-5340;-4999;95.4;N/A;Layer;Charcoal;corylus_nutshell;Ballin_og_Jensen_1995
Agder;Farsund;10554;Lundevaagen_R23;Stone_Age;1992;Tua-901;6070;80;-5214;-4794;95.4;N/A;Layer;Charcoal;corylus_nutshell;Ballin_og_Jensen_1995
Agder;Farsund;10554;Lundevaagen_R24;Stone_Age;1992;Ua-3558;6190;70;-5311;-4963;95.4;N/A;Layer;Charcoal;corylus_nutshell;Ballin_og_Jensen_1995
Agder;Farsund;10554;Lundevaagen_R24;Stone_Age;1992;Ua-3557;5000;65;-3948;-3662;95.4;N/A;Layer;Charcoal;corylus_nutshell;Ballin_og_Jensen_1995
Agder;Farsund;10554;Lundevaagen_R24;Stone_Age;1992;T-10490;4625;155;-3692;-2922;95.4;N/A;Hearth_I;Charcoal;corylus,_betula;Ballin_og_Jensen_1995
Agder;Farsund;10556;Lundevaagen_R31;Stone_Age;1992;T10492;4250;175;-3370;-2350;95.4;N/A;Layer;Charcoal;betula,_corylus;Ballin_og_Jensen_1995
Agder;Farsund;10556;Lundevaagen_R31;Stone_Age;1992;Ua-3264;3445;60;-1912;-1620;95.4;N/A;Layer;Charcoal;corylus_nutshell;Ballin_og_Jensen_1995
Agder;Farsund;10558;Lundevaagen_R36;Stone_Age;1992;T-11367;5445;130;-4537;-3984;95.4;N/A;Layer;Charcoal;Unknown;Ballin_og_Jensen_1995
Agder;Farsund;10560;Sande;Settlement;2005-2006;Beta-214614;4350;40;-3090;-2894;95.4;N/A;Kullag_under_roeys_S14;Charcoal;betula/corylus;Lund_og_Engebretsen__2009
Agder;Farsund;10560;Sande;Settlement;2005-2006;Beta-214624;3950;40;-2572;-2307;95.4;N/A;Roeys_Lag_4;Charcoal;rubus_idaeus;Lund_og_Engebretsen__2009
Agder;Farsund;10560;Sande;Settlement;2005-2006;Beta-214615;3610;40;-2131;-1881;95.4;N/A;Roeys_S15;Charcoal;Unknown;Lund_og_Engebretsen__2009
Agder;Farsund;10561;Skjelsvika_IV;Settlement;2006;Tua-7176;3345;30;-1735;-1532;95.4;N/A;Dyrkingslag;Charcoal;Unknown;Reitan_2009_(rapport)
Agder;Farsund;10561;Skjelsvika_IV;Settlement;2006;Tua-7174;3330;35;-1729;-1517;95.4;N/A;Dyrkingslag;Charcoal;Unknown;Reitan_2009_(rapport)
Agder;Farsund;10561;Skjelsvika_IV;Settlement;2006;Tua-7172;3170;30;-1505;-1396;95.4;N/A;Ildsted_S2;Charcoal;Unknown;Reitan_2009_(rapport)
Agder;Farsund;10561;Skjelsvika_IV;Settlement;2006;T-19420;3105;75;-1528;-1129;95.4;N/A;Kokegrop_S12b;Charcoal;Unknown;Reitan_2009_(rapport)
Agder;Farsund;10561;Skjelsvika_IV;Settlement;2006;T-19422;3010;70;-1423;-1047;95.4;N/A;Kokegrop_S9;Charcoal;Unknown;Reitan_2009_(rapport)
Agder;Grimstad;10638;Birketveit_1;Settlement;2012;LuS-14428;6335;45;-5466;-5218;95.4;N/A;Structure_A30028;Charcoal;Alnus;Haarstad_2020
Agder;Grimstad;10062;Brukjerr_3;Stone_Age;2017-2018;LuS-13611;4650;45;-3626;-3351;95.4;N/A;Cultural_layer_profile_308x49y;Charcoal;Unknown;Mansrud_in_prep
Agder;Grimstad;10063;Brukjerr_8;Stone_Age;2017-2018;LuS-14017;5860;40;-4831;-4612;95.4;N/A;Layer_8_807x49y;Charcoal;Unknown;Mansrud_in_prep
Agder;Grimstad;10064;Jortveit I;Artefact;1931, 2018;LuS-13505;4935;45;-3889;-3641;95.4;-12,9;Lower jaw (1931);Bone;Orcinus orca;Nielsen 2018
Agder;Grimstad;10064;Jortveit I;Artefact;1931, 2018;LuS-13504;4885;55;-3791;-3531;95.4;-12,6;Vertebrae (1931);Bone;Thunnus thynnus;Nielsen 2018
Agder;Grimstad;10064;Jortveit_I;Artefact;1931,_2018;LuS-13503;4715;45;-3635;-3372;95.4;N/A;C25034b_toggling_harpoon_(1931);Bone;antler;Nielsen_2018
Agder;Grimstad;10064;Jortveit_I;Artefact;1931,_2018;LuS-13897;4697;40;-3631;-3369;95.4;N/A;Torch_(1931);Unburnt_wood;betula;Nielsen_2018
Agder;Grimstad;10064;Jortveit_I;Stone_Age;1931,_2018;LuS-13896;4240;40;-2920;-2679;95.4;N/A;Gytje_(2018);Unburnt_wood;betula;Nielsen_2018
Agder;Grimstad;10064;Jortveit_I;Stone_Age;1931,_2018;LuS-13895;4135;40;-2875;-2582;95.4;N/A;Gyjte_(2018);Unburnt_wood;betula;Nielsen_2018
Agder;Grimstad;10064;Jortveit_I;Artefact;1931,_2018;LuS-13502;4050;75;-2878;-2356;95.4;N/A;C25034a_barbed_harpoon_(1931);Bone;mammalia;Nielsen_2018
Agder;Kristiansand;10562;Eg;Settlement;1979;T-2899;6920;280;-6395;-5361;95.4;N/A;Pit_16_B;Charcoal;Unknown;Unpublished
Agder;Kristiansand;10563;Hamremoen;Stone_Age;2010;Tra-3153;5155;40;-4045;-3806;95.4;N/A;unknown;Charcoal;picea;Gloerstad_og_Solheim_2015
Agder;Kristiansand;10563;Hamremoen;Stone_Age;2010;Tra-3151;5130;45;-4039;-3798;95.4;N/A;unknown;Charcoal;alnus;Gloerstad_og_Solheim_2015
Agder;Kristiansand;10563;Hamremoen;Stone_Age;2010;Tra-3149;5040;45;-3955;-3712;95.4;N/A;unknown;Charcoal;corylus_nutshell;Gloerstad_og_Solheim_2015
Agder;Kristiansand;10563;Hamremoen;Stone_Age;2010;Tra-3268;4960;35;-3894;-3653;95.4;N/A;unknown;Charcoal;pinus;Gloerstad_og_Solheim_2015
Agder;Kristiansand;10563;Hamremoen;Stone_Age;2010;Tra-3267;4955;35;-3798;-3652;95.4;N/A;unknown;Charcoal;betula;Gloerstad_og_Solheim_2015
Agder;Kristiansand;10563;Hamremoen;Stone_Age;2010;Tra-3152;4950;40;-3895;-3647;95.4;N/A;unknown;Charcoal;alnus;Gloerstad_og_Solheim_2015
Agder;Kristiansand;10563;Hamremoen;Stone_Age;2010;Tra-3273;4885;35;-3761;-3634;95.4;N/A;unknown;Charcoal;betula;Gloerstad_og_Solheim_2015
Agder;Kristiansand;10563;Hamremoen;Stone_Age;2010;Tra-2363;4860;35;-3708;-3536;95.4;N/A;unknown;Charcoal;corylus_nutshell;Gloerstad_og_Solheim_2015
Agder;Kristiansand;10563;Hamremoen;Stone_Age;2010;Tra-3269;4850;35;-3704;-3533;95.4;N/A;unknown;Charcoal;betula;Gloerstad_og_Solheim_2015
Agder;Kristiansand;10563;Hamremoen;Stone_Age;2010;Tra-3270;4790;35;-3650;-3389;95.4;N/A;unknown;Charcoal;corylus;Gloerstad_og_Solheim_2015
Agder;Lillesand;10066;Haestad;Stone_Age;1976-1978;T-3128;4880;110;-3948;-3378;95.4;N/A;Lag_5_(J_10/5);Charcoal;quercus;Unpublished
Agder;Lillesand;10066;Haestad;Stone_Age;1976-1978;T-3127;4680;50;-3631;-3362;95.4;N/A;Lag_4_(I_11/4);Charcoal;pinus/quercus;Unpublished
Agder;Lillesand;10066;Haestad;Stone_Age;1976-1978;T-3126;4670;70;-3639;-3138;95.5;N/A;Lag_3_(I_11/3);Charcoal;pinus;Unpublished
Agder;Lillesand;10066;Haestad;Stone_Age;1976-1978;T-3537;4210;130;-3323;-2467;95.4;N/A;Lag_2;Charcoal;corylus/pinus;Unpublished
Agder;Lillesand;10066;Haestad;Stone_Age;1976-1978;T-5008;3310;100;-1881;-1407;95.4;N/A;Lag_4;Charcoal;ulmus;Unpublished
Agder;Lillesand;10066;Haestad;Stone_Age;1976-1978;T-2363;3240;80;-1735;-1306;95.4;N/A;Lag_3;Charcoal;quercus;Unpublished
Agder;Lindesnes;10567;Haukenes;Stone_Age;2010;Tra-2637;4965;35;-3905;-3655;95.4;N/A;Ildsted;Charcoal;betula,_corylus;Kilde_2010
Agder;Lindesnes;10568;Steinsland;Settlement;2011;Tra-1090;3550;30;-2009;-1772;95.4;N/A;Grop_S1167;Charcoal;betula;Wenn_m._fl._2012
Agder;Lyngdal;10570;Haugaageren_ID244290;Survey_site;2018;Beta-508770;4660;34;-3620;-3363;95.4;N/A;Grave/cairn;Charcoal;Unknown;E19_rapport
Agder;Lyngdal;10570;Haugaageren_ID244290;Survey_site;2018;Beta-508765;3630;34;-2131;-1896;95.4;N/A;Pit;Charcoal;Unknown;E19_rapport
Agder;Lyngdal;10571;Skomrak;Stone_Age;2012;Ua-46000;5637;44;-4550;-4359;95.4;N/A;Ildsted_F2;Charcoal;salix;Bjoerkli_og_Mjaerum_2016
Agder;Lyngdal;10571;Skomrak;Stone_Age;2012;Ua-46003;5480;35;-4444;-4257;95.4;N/A;Ildsted_119;Charcoal;prunus;Bjoerkli_og_Mjaerum_2016
Agder;Lyngdal;10571;Skomrak;Stone_Age;2012;Ua-45997;5423;37;-4349;-4178;95.4;N/A;Tuft_Lag_2-3;Charcoal;corylus;Bjoerkli_og_Mjaerum_2016
Agder;Lyngdal;10571;Skomrak;Stone_Age;2012;Ua-45993;5238;36;-4228;-3968;95.5;N/A;Kulturlag_F2;Charcoal;prunus;Bjoerkli_og_Mjaerum_2016
Agder;Lyngdal;10571;Skomrak;Stone_Age;2012;Ua-45999;5187;35;-4054;-3946;95.4;N/A;Ildsted;Charcoal;salix;Bjoerkli_og_Mjaerum_2016
Agder;Lyngdal;10571;Skomrak;Stone_Age;2012;Ua-46816;5080;40;-3966;-3787;95.4;N/A;Stolpehull;Charcoal;corylus_nutshell;Bjoerkli_og_Mjaerum_2016
Agder;Lyngdal;10571;Skomrak;Stone_Age;2012;Ua-46815;5010;40;-3944;-3704;95.4;N/A;Gulvlag_tuft;Charcoal;corylus_nutshell;Bjoerkli_og_Mjaerum_2016
Agder;Lyngdal;10571;Skomrak;Stone_Age;2012;Ua-45998;4953;35;-3797;-3652;95.4;N/A;Ildsted;Charcoal;corylus;Bjoerkli_og_Mjaerum_2016
Agder;Lyngdal;10571;Skomrak;Stone_Age;2012;Ua-46817;4910;40;-3770;-3640;95.4;N/A;Stolpehull_119;Charcoal;corylus_nutshell;Bjoerkli_og_Mjaerum_2016
Agder;Lyngdal;10571;Skomrak;Stone_Age;2012;Ua-45996;4821;34;-3692;-3523;95.4;N/A;Ildsted_F3;Charcoal;salix;Bjoerkli_og_Mjaerum_2016
Agder;Lyngdal;10571;Skomrak;Stone_Age;2012;Ua-46001;4146;32;-2876;-2623;95.4;N/A;Ildsted;Charcoal;corylus;Bjoerkli_og_Mjaerum_2016
Agder;Mandal;10572;Stroemsvika;Stone_Age;2016;Ua-54525;7963;36;-7043;-6701;95.4;N/A;Stolpehull_2848;Charcoal;corylus;Nielsen_2018
Agder;Mandal;10572;Stroemsvika;Stone_Age;2016;Ua-54523;7915;36;-7028;-6654;95.4;N/A;Ildsted_2858/2979;Charcoal;populus/salix;Nielsen_2018
Agder;Mandal;10572;Stroemsvika;Stone_Age;2016;Ua-54524;7461;36;-6415;-6244;95.4;N/A;Ildsted_2858/2980;Charcoal;corylus_nutshell;Nielsen_2018
Agder;Mandal;10572;Stroemsvika;Stone_Age;2016;Ua-54526;6968;34;-5974;-5751;95.4;N/A;Ildsted_2984;Charcoal;fruit_tree;Nielsen_2018
Agder;Mandal;10572;Stroemsvika;Stone_Age;2016;Beta-462576;6920;30;-5877;-5731;95.4;N/A;Kulturlag_3015;Charcoal;corylus_nutshell;Nielsen_2018
Agder;Risoer;10067;Trondal;Stone_Age;2014;Ua-50175;5557;43;-4464;-4335;95.4;N/A;Ildsted_S3;Charcoal;alnus;Mansrud_2018
Agder;Risoer;10067;Trondal;Stone_Age;2014;Ua-50174;5425;25;-4337;-4246;95.4;N/A;Ildsted_S2;Charcoal;corylus;Mansrud_2018
Agder;Risoer;10067;Trondal;Stone_Age;2014;Ua-50176;5256;44;-4231;-3975;95.4;N/A;Kokegrop_S7;Charcoal;salix,_salix/populus;Mansrud_2018
Agder;Tvedestrand;10069;Kvastad_A2;Stone_Age;2015;Ua-52878;8625;35;-7720;-7583;95.4;N/A;Ildsted_A57753;Charcoal;Pinus;Viken_&_Reitan_2018
Agder;Tvedestrand;10069;Kvastad_A2;Stone_Age;2015;Ua-52879;8339;35;-7515;-7327;95.4;N/A;Ildsted_A57995;Charcoal;Pinus;Viken_&_Reitan_2018
Agder;Tvedestrand;10069;Kvastad_A2;Stone_Age;2015;Ua-52880;8130;34;-7289;-7048;95.4;N/A;Nedgravning_A54075;Charcoal;pinecone;Viken_&_Reitan_2018
Agder;Tvedestrand;10069;Kvastad_A2;Stone_Age;2015;Ua-52925;4551;56;-3498;-3035;95.5;N/A;Ildsted_A54643;Charred_cereal_grain;Hordeum_vulgare;Viken_&_Reitan_2018
Agder;Tvedestrand;10069;Kvastad_A2;Stone_Age;2015;Ua-52926;4351;55;-3310;-2880;95.4;N/A;Ildsted_A54643;Charred_cereal_grain;Triticum_dicoccum;Viken_&_Reitan_2018
Agder;Tvedestrand;10069;Kvastad_A2;Stone_Age;2015;Ua-52876;3477;28;-1886;-1697;95.4;N/A;Ildsted_A54643;Charcoal;Avena_sp.;Viken_&_Reitan_2018
Agder;Tvedestrand;10069;Kvastad_A2;Stone_Age;2015;Ua-52877;3470;29;-1884;-1695;95.4;N/A;Ildsted_A54643;Charcoal;Avena_sp.;Viken_&_Reitan_2018
Agder;Tvedestrand;10069;Kvastad_A2;Stone_Age;2015;Ua-52875;3464;28;-1881;-1694;95.4;N/A;Ildsted_A54643;Charred_cereal_grain;Hordeum_vulgare;Viken_&_Reitan_2018
Agder;Tvedestrand;10069;Kvastad_A2;Stone_Age;2015;Ua-52874;3431;28;-1876;-1646;95.4;N/A;Dyrkningslag?_A53485;Charcoal;Avena_sp.;Viken_&_Reitan_2018
Agder;Tvedestrand;10070;Kvastad_A3;Stone_Age;2015;Ua-52881;3747;29;-2279;-2038;95.4;N/A;Kullflekk_A100396;Charcoal;Pinus;Viken_&_Reitan_2018
Agder;Tvedestrand;10073;Kvastad_A9;Stone_Age;2015;Ua-52892;8119;34;-7185;-7044;95.4;N/A;Steinpakning_A400159;Charcoal;Pinus;Viken_&_Reitan_2018
Agder;Tvedestrand;10073;Kvastad_A9;Stone_Age;2015;Ua-52893;3187;28;-1506;-1414;95.4;N/A;Ildsted_A400180;Charcoal;Pinus;Viken_&_Reitan_2018
Agder;Valle;10074;Hovatn_III;Stone_Age;1969;T-849;7240;100;-6364;-5918;95.4;N/A;Peat_bog_layer_(outside_site);Charcoal;Charcoal;Nydal_et_al._1972
Innlandet;Elverum;10109;Svevollen;Stone_Age;1989-1990;unknown;5525;205;-4880;-3945;95.4;N/A;Tuft_2;Charcoal;Unknown;Fuglestvedt_1995
Innlandet;Elverum;10109;Svevollen;Stone_Age;1989-1990;unknown;5075;85;-4041;-3666;95.4;N/A;Tuft_2;Charcoal;Unknown;Fuglestvedt_1995
Innlandet;Gran;10266;Daehlen;Settlement;2008;Tua-8023;3625;35;-2129;-1892;95.4;N/A;Fossilt_dyrkningslag;Charcoal;betula,_pinus;Hellesoee_og_Skogsfjord_2010
Innlandet;Gran;10267;oesten;Artefact;1889;T-2130;7300;100;-6387;-6006;95.4;N/A;Elk_antler_mattock-head_found_in_bog;bone;alces_alces;Gulliksen_et_al._1978
